번호,카테고리,제목,대표상품1,대표상품2,대표상품3
1,성분,판테놀 고보습 저자극 성분 부상,아벤느 시칼파트 크림,라로슈포제 시카플라스트 밤 B5,아이소이 비타민 판테놀 크림
2,컨셉,스킵케어(단순화 루틴) 확산,라운드랩 자작나무 수분크림,토리든 다이브인 저분자 히알루론산 세럼,넘버즈인 비타 프로폴리스 시럽
3,패키징,고체 비누바 포맷 리바이벌,러쉬 클렌징 바,이니스프리 그린티 클렌징바,웰라쥬 리얼 히알루로닉 클렌징바
4,성분,고농도 나이아신아마이드 브라이트닝 강세,구달 청귤 비타C 세럼,넘버즈인 프로퍼티 나이아신아마이드 세럼,토리든 다이브인 브라이트닝 세럼
5,컨셉,멀티밤 하나로 끝내는 원포인트 메이크업,라네즈 립 슬리핑 마스크,클리오 킬커버 컨실러 밤,조성아 22 스틱 멀티밤
6,패키징,무라벨 미니멀 패키징 확산,이니스프리 그린티 무라벨 라인,라네즈 워터뱅크 무라벨 에디션,라운드랩 무라벨 자작나무 라인
7,성분,티트리 진정 라인 재조명,이니스프리 티트리 스킨,이니스프리 티트리 세럼,에이바자르 티트리 스팟패치
8,컨셉,퍼스널 컬러 맞춤 쿠션 확산,헤라 블랙 쿠션,클리오 킬커버 쿠션,미샤 퍼펙트 커버 쿠션
9,패키징,종이 소재 1차 포장재 도입,이니스프리 페이퍼 보틀 라인,러쉬 네이키드 패키지 제품,이니스프리 종이 튜브 클렌징폼
10,성분,프로바이오틱스(마이크로바이옴) 스킨케어 부상,조선미녀 맑은쌀 유산균 에센스,마녀공장 비피다 바이옴 앰플,아누아 어성초 마이크로바이옴 크림
